2012-10-22 04:00:00+01,NewTwitcon,260213890359648256,,,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,346127143,Dee' (¦,Dee0nMars,"Oxnard, Cali.",-28800,Pacific Time (US & Canada),1108,1088,en,"666 ,",10786,2011-07-31 20:32:01+01
2012-10-22 04:00:00+01,Everybody cant be spitting real shit like et honey ..,260213890351239168,,,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,387829606,Deyja Renee,Misty_Tuesday,"",-21600,Central Time (US & Canada),120,144,en,Loving Myself && Whoeva by my side . . life's not easy but GOD got me . #TEAMinLove #TeamNOBULLSHIT,691,2011-10-09 19:55:06+01
2012-10-22 04:00:00+01,Watching Bad Boys 2 love this movie.,260213890363817984,,,,0,"<a href=""http://www.lg.com"" rel=""nofollow"">LG Phone</a>",,,,,,,,407302707,MS.SWEET LOVELY NESH,TASTY262VIrGO,**WONDERLAND**,,,141,263,en,"Lovely & B.S. Free! Cool,Calm& Collected  #TeamVirgo #DarkSkin #TeamGet2KnowMe #FOLLOWBACK  WHAT I DO IS MY BIZ SO PLEASE DON'T FUCK WIT IT!!!!!",722,2011-11-07 22:24:22+00
2012-10-22 04:00:00+01,"Balik KL for a day before heading to Koh Phi Phi on Wednesday. Camping at Maya Bay, inspired by Danny Boyle's The Beach.",260213890355445762,,,,0,"<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>",,,,,,,,47294994,Rewan Ishak,RewanIshak,Malaysia,-32400,Alaska,2089,159,en,"Film & TV Director | Designer. Trust me, I'm a time traveler.",24413,2009-06-15 09:56:26+01
2012-10-22 04:00:00+01,Too much on my mind cant sleep lowkey,260213890355429376,,,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,43715267,The Bossalini ,StragMAGNET____,Knocking on Loves Front Door ,-21600,Central Time (US & Canada),700,1087,en,Follow My Eastside Bestfriend @RICOOUTCOLD ❤ BABY IM TOO WESTSIDE Mention Me for a Followback :),27831,2009-05-31 17:53:55+01
2012-10-22 04:00:00+01,"Just thinking thoe , cause i miss him too :/",260213890372210688,,,,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,502387030,⇨§úccésss_Thøe★,TheRealBeautyyL,"",-14400,Atlantic Time (Canada),281,248,en,' i crave for success ♥,1482,2012-02-25 02:37:54+00
2012-10-22 04:00:00+01,tava conversando com a julia e baa,260213890368012289,,,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,69115768,Bruna,bru_fritsch,"",-10800,Brasilia,556,169,en,"",20707,2009-08-26 23:26:06+01
2012-10-22 04:00:00+01,“@j_hopkins07: #NationalFearDay my credit card getting declined in public. I'd have to move”😂😂😂😭😂,260213890372218880,,,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,NationalFearDay,,,,,,415263915,Kota Luke ,Dakotaluke93,"",-21600,Central Time (US & Canada),397,306,en,#Moneyteam #teamAlumni #teamsnapback #teamlax #teamturnup #teamTGOD,6060,2011-11-18 03:30:16+00
2012-10-22 04:00:00+01,"“@FUN: If a mosquito is biting you, and you flex that muscle, it will explode.” I'm trying this... #Summer2k13ToDoList",260213890372231170,,,,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Summer2k13ToDoList,,,,,,477487402,Jordan Howard,JordanHowardd,Spartanburg/Myrtle Beach SC,-18000,Eastern Time (US & Canada),1259,957,en,#TopFlight #NastySquadFounder #TeamMixed  my twifey➡ @kaay_nastayy ☺,26467,2012-01-29 07:28:22+00
2012-10-22 04:00:00+01,Mereka mirip ._. RT @EXOSuhoSJFE: YOONA or KRYSTAL? DUADUA NYA DAH,260213890380619776,,,,0,"<a href=""http://bit.ly/fVzRUd"" rel=""nofollow"">TwitPal</a>",,,,,,,,869714659,문근영,SRGeunYoung,@SunRoleplayer,,,110,185,en,"문근영 Moon Geun Young from @SunRoleplayer | Mei 6, 1987 | Youngie | Nation's Little Sister 국민 여동생 | twinbeb @MGeunYoung_MF | uri appa Lee Min Ho @domo_sjyesung",3241,2012-10-09 12:27:28+01
